Tipo de Propiedad,Sector,Total construido,Precio,Referencia,Dormitorios,Baños,Antiguedad,Superficie,Ambientes,24 Hours Security,Alcantarillado,Parqueadero fijo,Seguridad 24Hs,Expensas,Fecha de entrega,Fecha
Casa,Tumbaco,212 m²,USD260.000,"Sector Hilacril, Tumbaco",3,3,En Construcción,220 m²,4,,,,,,,05-04-2022
Casa,Tumbaco,247 m²,USD295.000,Tumbaco,3,3,A Estrenar,220 m²,5,,,,,,,05-04-2022
Departamento,Cumbayá,170 m²,USD220.000,Santa Lucía,3,2,10,,5,,,,,,,05-04-2022
Departamento,Nayón - Tanda,201 m²,USD215.000,"Nayón, Urbanización cerrada",3,2,5,,4,,,,,,,05-04-2022
Casa,San Isidro - Vista Grande,737 m²,USD735.000,Urbanización Altos del Valle,4,3,20,442 m²,6,,,,,,,05-04-2022
Casa,Cumbayá,1098 m²,USD1.700.000,Urbanización La Quinta,5,5,En Construcción,1050 m²,7,,,,,,,05-04-2022
Departamento,El Bosque,102 m²,USD95.000,Frente al Centro Comercial El Bosque,1,1,27,,2,,,,,,,05-04-2022
Departamento,Same,160 m²,USD160.000,"El Muelle, Esmeraldas",3,2,15,,4,,,,,,,05-04-2022
Casa,El Bosque,960 m²,USD800.000,"Sector Unión Nacional, El Bosque",5,5,38,1443 m²,6,,,,,,,05-04-2022
Casa,Cumbayá,275 m²,USD360.000,"Cumbayá, junto al Colegio Menor",3,3,A Estrenar,60 m²,4,,,,,,,05-04-2022
Terreno,Checa,,USD275.000,Checa,,,,5000 m²,,No,No,,,,,05-04-2022
Casa,Cumbayá,1740 m²,USD850.000,Tanda,4,3,8,,,,,,,,,05-04-2022
Casa,Cumbayá,240 m²,USD319.000,Urbanización Pachosalas,3,3,A Estrenar,123 m²,4,,,,,,,05-04-2022
Casa,Cumbayá,221 m²,USD298.000,Urbanización Pachosalas,3,3,A Estrenar,112 m²,4,,,,,,,05-04-2022
Terreno,Puembo,,USD138.000,Urbanización Plaza del Parque Puembo,,,,596 m²,,Si,Si,,,,,05-04-2022
Departamento,Cumbayá,174 m²,USD219.000,"Cumbayá, Proyecto Sironi",3,2,5,120 m²,4,,,,,,,05-04-2022
Terreno,Cumbayá,,USD498.780,La Viña del Río Parte alta,,,,1467 m²,,Si,Si,,,,,05-04-2022
Terreno,Cumbayá,,USD795.520,Urbanización Viña del Río,,,,2486 m²,,Si,Si,,,,,05-04-2022
Terreno,Cumbayá,,USD625.000,"Urbanización La Quinta, Cumbayá",,,,1000 m²,,Si,No,,,,,05-04-2022
Hotel,Atacames,2526 m²,USD5.500.000,Atacames,,,,5650 m²,,,,,,,,05-04-2022
Departamento,Cumbayá,116 m²,USD210.000,Urbanización La Primavera,3,2,2,,4,,,,,,,05-04-2022
Casa,Puembo,500 m²,USD725.000,"Puembo, Sector Las Palmas",4,4,A Estrenar,2437 m²,5,,,,,,,05-04-2022
Casa,Cumbayá,181 m²,USD285.000,San Juan Alto,3,2,2,64 m²,4,,,,,,,05-04-2022
Casa,Tumbaco,400 m²,USD370.000,"San José de la Viña, Tumbaco",4,3,9,1320 m²,6,,,,,,,05-04-2022
Casa,Tumbaco,569 m²,USD850.000,"Tumbaco, Sector Hilacril",3,3,A Estrenar,1520 m²,5,,,,,,,05-04-2022
Casa,Cumbayá,390 m²,USD580.000,"Cumbayá, frente a la ciclovía",3,3,8,642 m²,5,,,,,,,05-04-2022
Terreno,Puembo,,USD203.000,Puembo,,,,1000 m²,,Si,Si,,,,,05-04-2022
Terreno,Tumbaco,,USD240.000,"Collaquí, Tumbaco, Urbanización Yarakuna",,,,1017 m²,,Si,Si,,,,,05-04-2022
Terreno,Tumbaco,,USD236.600,"Tumbaco, Urbanización Chaupi",,,,910 m²,,Si,Si,,,,,05-04-2022
Terreno,Tumbaco,,USD260.000,"Tumbaco, cerca al Chaquiñán",,,,1000 m²,,Si,Si,,,,,05-04-2022
Casa,Nayón - Tanda,711 m²,USD750.000,"Nayón, Urbanización cerrada",4,4,9,1199 m²,9,,,,,,,05-04-2022
Departamento,La Carolina,185 m²,USD460.000,Carolina,2,2,1,,4,,,,,,,05-04-2022
Departamento,Cumbayá,580 m²,USD440.000,"Urbanización Eucaliptos, Cumbayá",4,3,15,80 m²,6,,,,,,,05-04-2022
Casa,Cumbayá,700 m²,USD890.000,Urbanización La Viña,4,4,6,1042 m²,6,,,,,,,05-04-2022
Terreno,Tumbaco,,USD260.000,Tumbaco,,,,895 m²,,Si,No,,,,,05-04-2022
Terreno,Tumbaco,,USD139.000,"Tumbaco, Sector Hilacril",,,,696 m²,,No,Si,,,,,05-04-2022
Casa,Cumbayá,580 m²,USD620.000,Urbanización Cumbres del Valle,4,4,9,698 m²,6,,,,,,,05-04-2022
Casa,Cumbayá,616 m²,USD1.200.000,Urbanización Auqui Chico,4,4,8,1007 m²,6,,,,,,,05-04-2022
Departamento,Cumbayá,129 m²,USD196.000,SAN JUAN ALTO,3,2,3,,,,,,,,,05-04-2022
Terreno,Cumbayá,,USD501.930,San Antonio de la Viña,,,,1521 m²,,Si,Si,,,,,05-04-2022
Terreno,Cumbayá,,USD267.750,URBANIZACIÓN LA VIÑA,,,,765 m²,,Si,Si,,,,,05-04-2022
Casa,Cumbayá,313 m²,USD405.000,"Tumbaco, Novena Transversal",4,4,8,500 m²,5,,,,,,,05-04-2022
Terreno,Puembo,,USD189.000,"Puembo, junto a Arrayanes",,,,1000 m²,,Si,No,,,,,05-04-2022
Casa,Nayón - Tanda,280 m²,USD350.000,Prados de Tanda,3,3,A Estrenar,100 m²,4,,,,,,,05-04-2022
Departamento,Miravalle,238 m²,USD450.000,Miravalle 4,3,2,2,,4,,,,,,,05-04-2022
Departamento,Miravalle,183 m²,USD350.000,Miravalle 4,2,3,2,33 m²,3,,,,,,,05-04-2022
Casa,Cumbayá,800 m²,USD1.400.000,"Urbanización Exclusiva, Sector Pillagua",4,5,18,1710 m²,6,,,,,,,05-04-2022
Departamento,Cumbayá,180 m²,USD240.000,"Cumbayá, Sironi",4,3,5,51 m²,6,,,,,,,05-04-2022
Oficina,Manta,,USD85.000,Manta,,1,5,,,,,No,Si,,,05-04-2022
Casa,Tumbaco,224 m²,USD245.000,"Tumbaco, Sector Cerámica",3,3,3,50 m²,4,,,,,,,05-04-2022
Terreno,Cumbayá,,USD300.000,"Cumbayá, centro de Cumbayá",,,,579 m²,,Si,Si,,,,,05-04-2022
Terreno,Cumbayá,,USD419.250,Urbanización La Viña,,,,1677 m²,,No,Si,,,,,05-04-2022
Terreno,Cumbayá,,USD786.760,Urbanización Viña del Río,,,,2314 m²,,Si,No,,,,,05-04-2022
Casa,Checa,157 m²,USD235.000,Proyecto Pakakuna ubicado en Checa,2,2,2,337 m²,2,,,,,,,05-04-2022
Casa,Checa,137 m²,USD232.500,"Pakakuna Gardens, Checa",2,2,A Estrenar,,4,,,,,,,05-04-2022
Casa,Puembo,284 m²,USD340.000,Urbanización en Puembo,4,3,4,109 m²,6,,,,,,,05-04-2022
Casa,Cumbayá,836 m²,USD1.300.000,Urbanización Pillagua,3,3,7,1321 m²,7,,,,,,,05-04-2022
Casa,Puembo,560 m²,USD990.000,Urbanización cerca al parque de Puembo,4,4,1,1338 m²,5,,,,,,,05-04-2022
Departamento,González Suárez,411 m²,USD1.300.000,"Yoo Quito, Avenida González Suarez",3,3,2,,5,,,,,,,05-04-2022
Departamento,Cumbayá,317 m²,USD471.442,Urbanización Pillagua,3,3,A Estrenar,,5,,,,,,,05-04-2022
Departamento,Cumbayá,232 m²,USD350.000,"Santa Lucía Alta, Cumbayá",3,3,8,46 m²,5,,,,,,,05-04-2022
Oficina,La Carolina,256 m²,USD700.000,República del Salvador y Portugal,,2,7,,,,,No,Si,495,,05-04-2022
Casa,Cumbayá,293 m²,USD420.000,Urbanización La Viña,3,3,4,137 m²,5,,,,,,,05-04-2022
Casa,Puembo,340 m²,USD430.000,"Puembo, a tres cuadras del Parque",4,4,2,260 m²,5,,,,,,,05-04-2022
Terreno,Puembo,,USD240.000,"Puembo, Urbanización Palermo",,,,1101 m²,,Si,Si,,,,,05-04-2022
Casa,Tumbaco,300 m²,USD280.000,Tumbaco,4,3,15,330 m²,5,,,,,,,05-04-2022
Terreno,Tumbaco,,USD150.000,COLLAQUÍ,,,,,,No,No,,,,,05-04-2022
Casa,Iñaquito Alto,593 m²,USD620.000,"Sector Iñaquito, Sector La Y",8,5,20,505 m²,10,,,,,,,05-04-2022
Terreno,Puembo,,USD320.000,"Urbanización El Ingenio, Puembo",,,,1600 m²,,Si,Si,,,,,05-04-2022
Terreno,Cumbayá,,USD440.000,Urbanización Prados de la Viña,,,,1100 m²,,Si,Si,,,,,05-04-2022
Departamento,La Carolina,127 m²,USD144.000,"Sector Quicentro, Calle Suecia",2,2,38,,3,,,,,,,05-04-2022
Terreno,Cumbayá,,USD249.750,San Juan Alto,,,,999 m²,,No,Si,,,,,05-04-2022
Terreno,Checa,,USD256.086,"Pakakuna Gardens, Checa",,,,1249 m²,,Si,Si,,,,,05-04-2022
Terreno,Pifo,,USD800.000,"Pifo, Vía a Papallacta",,,,20000 m²,,No,Si,,,,,05-04-2022
Departamento,Tumbaco,123 m²,USD149.800,"Tumbaco, a 1 cuadra de la Ruta Viva",2,2,5,,3,,,,,,,05-04-2022
Terreno,Calderón,,USD1.806.930,Calderón,,,,20077 m²,,No,Si,,,,,05-04-2022
Casa,Cumbayá,234 m²,USD282.000,San Juan Alto,3,3,2,78 m²,4,,,,,,,05-04-2022
Oficina,Cumbayá,168 m²,USD405.000,"Cumbayá, junto al Parque de Cumbayá",,,1,,,,,No,Si,47351,,05-04-2022
Oficina,Cumbayá,79 m²,USD196.000,"Cumbayá, junto al Parque de Cumbayá",,,1,,,,,No,Si,22245,,05-04-2022
Oficina,La Carolina,154 m²,USD420.000,Entre 6 de Diciembre y República del Salvador,,,5,,,,,No,Si,325,,05-04-2022
Terreno,Norte de Pedernales,,USD1.500.000,COJIMIES,,,,60000 m²,,No,No,,,,,05-04-2022
Terreno,Tumbaco,,USD292.000,"Tumbaco, Sector La Cerámica",,,,1621 m²,,Si,Si,,,,,05-04-2022
Terreno,Tumbaco,,USD340.000,La Cerámica,,,,1000 m²,,Si,Si,,,,,05-04-2022
Terreno,Puembo,,USD230.000,"Puembo, cerca al parque de Puembo",,,,1070 m²,,Si,Si,,,,,05-04-2022
Terreno,Tababela,,USD848.000,Tababela,,,,10600 m²,,No,No,,,,,05-04-2022
Terreno,Puembo,,USD410.000,"Puembo, sector Arrayanes",,,,2051 m²,,Si,Si,,,,,05-04-2022
Terreno,Tababela,,USD1.300.000,Tababela,,,,26032 m²,,Si,Si,,,,,05-04-2022
Terreno,Tumbaco,,USD1.118.000,"Tumbaco, a dos cuadras de la Ruta Viva",,,,4300 m²,,No,Si,,,,,05-04-2022
Departamento,Tumbaco,108 m²,USD160.000,"Tumbaco, a 1 cuadra de la Interoceánica",3,2,A Estrenar,,4,,,,,,,05-04-2022
Terreno,Cumbayá,,USD300.000,"Cumbayá, Urbanización Santa Lucía, junto al Supermaxi",,,,650 m²,,Si,Si,,,,,05-04-2022
Casa,Tumbaco,380 m²,USD680.000,Urbanización Las Peñas,4,4,5,880 m²,5,,,,,,,05-04-2022
Galpón,Carcelén,1146 m²,USD930.000,Eloy Alfaro y de los Arupos,,,A Estrenar,1379 m²,,,,,,,,05-04-2022
Terreno,Puembo,,USD4.750.000,Puembo,,,,19000 m²,,No,Si,,,,,05-04-2022
Departamento,Cumbayá,147 m²,USD250.000,Edificio FEZ Cumbayá,2,2,8,,3,,,,,,,05-04-2022
Terreno,Puembo,,USD251.160,Urbanización Palermo en Puembo,,,,1092 m²,,Si,Si,,,,,05-04-2022
Departamento,Monteserrín,114 m²,USD114.900,LOMAS DE MONTESERRÍN,2,1,7,,,,,,,,,05-04-2022
Casa,Cumbayá,694 m²,USD800.000,Urbanización Pillagua,6,4,13,1027 m²,8,,,,,,,05-04-2022
Casa,Centro de Punta Blanca,89 m²,USD119.990,"Punta Blanca, Santa Elena",3,2,A Estrenar,250 m²,4,,,,,,,05-04-2022
Terreno,Puembo,,USD270.600,"Puembo, Urbanización Sequoia",,,,1230 m²,,Si,Si,,,,,05-04-2022
Terreno,Carapungo,,USD774.000,GEOVANNY CALLES,,,,,,No,No,,,,,05-04-2022
Casa,Tumbaco,200 m²,USD360.000,"Tumbaco, Sector Buena Esperanza",4,3,25,1490 m²,5,,,,,,,05-04-2022
Departamento,Miravalle,151 m²,USD190.000,Miravalle 4,3,2,10,40 m²,4,,,,,,,05-04-2022
Casa,Tumbaco,322 m²,USD340.000,Sector Hilacril,3,3,A Estrenar,300 m²,5,,,,,,,05-04-2022
Departamento,Cumbayá,143 m²,USD197.000,"Cumbayá, sector Colegio Alemán",2,2,6,50 m²,3,,,,,,,05-04-2022
Casa,Cumbayá,350 m²,USD315.000,Cumbaya,4,4,10,600 m²,5,,,,,,,05-04-2022
Casa,Cumbayá,473 m²,USD719.000,Sector la Viña,4,4,5,600 m²,5,,,,,,,05-04-2022
Terreno,Cumbayá,,USD415.710,Urbanización Cumbres del Valle,,,,1341 m²,,Si,Si,,,,,05-04-2022
Casa,Cumbayá,500 m²,USD940.000,Urbanización La Viña,5,7,6,1000 m²,10,,,,,,,05-04-2022
Quinta,Puembo,400 m²,USD600.000,Entrada a Puembo,6,5,10,2500 m²,10,,,,,,,05-04-2022
Casa,Tumbaco,240 m²,USD620.000,"Tumbaco, sector El Arenal",3,2,24,2000 m²,4,,,,,,,05-04-2022
Casa,Cumbayá,444 m²,USD370.000,San Juan Alto,3,2,11,387 m²,5,,,,,,,05-04-2022
Casa,Cumbayá,204 m²,USD299.900,"Cumbayá, Sector La Primavera",3,3,A Estrenar,26 m²,4,,,,,,,05-04-2022
Departamento,Cumbayá,67 m²,USD115.000,"Santa Lucía Alta, Cumbayá",1,1,10,47 m²,2,,,,,,,05-04-2022
Casa,Cumbayá,318 m²,USD405.000,Urbanización La Viña,3,3,9,409 m²,4,,,,,,,05-04-2022
Casa,Cumbayá,184 m²,USD225.000,"San Juan, Cumbayá",3,2,8,30 m²,4,,,,,,,05-04-2022
Casa,Nayón - Tanda,400 m²,USD550.000,Tanda,3,3,12,600 m²,7,,,,,,,05-04-2022
Departamento,Cumbayá,142 m²,USD165.000,"CUMBAYA SECTOR JACARANDÁ, Departamento de venta",2,2,15,,4,,,,,,,05-04-2022
Terreno,Tumbaco,,USD5.000.000,La Cerámica,,,,20000 m²,,No,Si,,,,,05-04-2022
Terreno,Tumbaco,,USD4.316.400,"Avenida Interoceánica, Tumbaco",,,,9592 m²,,No,Si,,,,,05-04-2022
Terreno,Puembo,,USD155.000,"Plaza del Parque, Puembo",,,,545 m²,,Si,Si,,,,,05-04-2022
Oficina,Cumbayá,,USD130.000,CUMBAYA,,,1,,,,,No,No,170,,05-04-2022
Casa,Cumbayá,1060 m²,USD1.250.000,Urbanización San Antonio de la Viña,6,10,8,998 m²,10,,,,,,,05-04-2022
Departamento,Cumbayá,166 m²,USD225.000,Cununyacu,3,2,4,,4,,,,,,,05-04-2022
Casa,Tumbaco,231 m²,USD285.584,Tumbaco,3,3,En Construcción,405 m²,4,,,,,,,05-04-2022
Departamento,Cumbayá,110 m²,USD185.000,"Vista Hermosa, Cumbayá",1,1,3,,2,,,,,,,05-04-2022
Terreno,Cumbayá,,USD396.000,LA VIÑA,,,,1200 m²,,Si,No,,,,,05-04-2022
Departamento,Cumbayá,120 m²,USD170.000,"Edificio Siray, sector Colegio Alemán",2,2,5,50 m²,3,,,,,,,05-04-2022
Quinta,Pifo,750 m²,USD690.000,Oyambarillo,4,3,14,2970 m²,8,,,,,,,05-04-2022
Casa,Tumbaco,320 m²,USD415.000,"Tumbaco, Sector Hilacril",4,4,En Construcción,367 m²,5,,,,,,,05-04-2022
Departamento,Cumbayá,90 m²,USD165.000,Cumbaya,2,2,5,,,,,,,,,05-04-2022
Casa,Cumbayá,268 m²,USD360.000,Sector La Viña,3,3,5,80 m²,4,,,,,,,05-04-2022
Casa,Tumbaco,526 m²,USD1.200.000,"LA MORITA, TUMBACO",4,5,A Estrenar,10000 m²,10,,,,,,,05-04-2022
Terreno,Tumbaco,,USD283.230,la cerámica Tumbaco,,,,,,Si,No,,,,,05-04-2022
Oficina,Centro Norte,183 m²,USD230.000,Amazonas y Colón,,2,A Estrenar,,,,,No,Si,217,,05-04-2022
Terreno,Cumbayá,,USD800.000,Urbanización Cumbres del Valle,,,,2000 m²,,Si,Si,,,,,05-04-2022
Terreno,Cumbayá,,USD767.520,Cumbayá,,,,1599 m²,,Si,Si,,,,,05-04-2022
Departamento,Tonsupa,92 m²,USD130.000,Playa Almendro,2,2,10,,,,,,,,,05-04-2022
Departamento,La Carolina,92 m²,USD150.000,Avenida República y Ulloa,2,2,5,,3,,,,,,,05-04-2022
Departamento,Cumbayá,116 m²,USD185.000,CUMBAYA,2,2,4,,,,,,,,,05-04-2022
Casa,Cumbayá,264 m²,USD215.000,Sector Cununyacu,3,3,5,190 m²,5,,,,,,,05-04-2022
Departamento,Cumbayá,240 m²,USD320.000,Urbanización La Viña,3,3,3,31 m²,4,,,,,,,05-04-2022
Departamento,Cumbayá,135 m²,USD220.000,"Cumbayá, Urbanización La Católica",2,2,A Estrenar,,3,,,,,,,05-04-2022
Casa,Tumbaco,226 m²,USD236.826,"Tumbaco, sector La Morita",3,3,A Estrenar,185 m²,4,,,,,,,05-04-2022
Casa,Cumbayá,230 m²,USD290.000,"Lumbisí, Urbanización El Limonar",3,2,8,350 m²,4,,,,,,,05-04-2022
Terreno,Puembo,,USD1.200.000,Puembo,,,,10000 m²,,No,Si,,,,,05-04-2022
Casa,Los Chillos,182 m²,USD140.000,Los Chillos,4,2,5,,6,,,,,,,05-04-2022
Departamento,Quito Tenis,350 m²,USD640.000,Quito Tenis,3,3,12,,4,,,,,,,05-04-2022
Casa,Cumbayá,214 m²,USD225.000,"San Juan Alto, Cumbaya",4,4,4,200 m²,5,,,,,,,05-04-2022
Terreno,Cumbayá,,USD652.850,URBANIZACIÓN LA QUINTA,,,,,,Si,No,,,,,05-04-2022
Oficina,Cumbayá,67 m²,USD123.210,CUNUNYACU,,,A Estrenar,,,,,No,No,,,05-04-2022
Terreno,Cumbayá,,USD1.200.000,CUNUNYACU,,,,,,No,No,,,,,05-04-2022
Terreno,Cumbayá,,USD600.000,CUMBAYA,,,,,,Si,No,,,,,05-04-2022
Terreno,Cumbayá,,USD530.400,Pillagua,,,,,,Si,No,,,,,05-04-2022
Terreno,Cumbayá,,USD716.240,PILLAGUA,,,,,,Si,No,,,,,05-04-2022
Terreno,Cumbayá,,USD330.000,URBANIZACION LA VIÑA,,,,,,Si,No,,,,,05-04-2022
Casa,Cumbayá,317 m²,USD750.000,Sector Colegio Alemán,3,3,2,645 m²,4,,,,,,,05-04-2022
Casa,Norte de Punta Blanca,101 m²,USD136.000,"Punta Blanca, Santa Elena",3,3,A Estrenar,250 m²,4,,,,,,,05-04-2022
Casa,Nayón - Tanda,160 m²,USD227.615,TANDA,3,2,En Construcción,72 m²,4,,,,,,Marzo 2022,05-04-2022
Casa,Cumbayá,430 m²,USD525.000,"Sector Colegio Alemán, Urbanización Florencia",3,3,17,600 m²,4,,,,,,,05-04-2022
Terreno,Iñaquito Alto,,USD1.300.000,Eloy Alfaro,,,,968 m²,,No,No,,,,,05-04-2022
Casa,El Bosque,432 m²,USD390.000,Subida al Centro Comercial El Bosque,4,4,25,350 m²,6,,,,,,,05-04-2022
Quinta,Tumbaco,200 m²,USD449.500,Tumbaco,3,2,A Estrenar,3100 m²,4,,,,,,,05-04-2022
Terreno,Puembo,,USD435.000,Urbanización Arrayanes,,,,1160 m²,,No,No,,,,,05-04-2022
Departamento,Cumbayá,221 m²,USD350.000,Santa Lucía Alta,3,4,3,,,,,,,,,05-04-2022
Departamento,Cumbayá,153 m²,USD218.000,San Juan Alto,3,3,A Estrenar,,5,,,,,,,05-04-2022
Casa,Nayón - Tanda,160 m²,USD223.647,Tanda,3,3,En Construcción,61 m²,4,,,,,,Marzo 2022,05-04-2022
Casa,Nayón - Tanda,160 m²,USD228.592,Tanda,3,3,En Construcción,75 m²,4,,,,,,Marzo 2022,05-04-2022
Casa,Nayón - Tanda,160 m²,USD231.319,Tanda,3,3,A Estrenar,78 m²,,,,,,,Marzo 2022,05-04-2022
Casa,Nayón - Tanda,165 m²,USD231.319,Tanda,3,3,En Construcción,78 m²,4,,,,,,,05-04-2022
Casa,Tumbaco,209 m²,USD275.000,"Tumbaco, muy cerca a la Ruta Viva",3,3,5,96 m²,4,,,,,,,05-04-2022
Terreno,Tumbaco,,USD1.064.000,"Sector Hilacril, Arenal",,,,7600 m²,,Si,No,,,,,05-04-2022
Departamento,Cumbayá,164 m²,USD307.332,Santa Lucía Alta,3,2,A Estrenar,,4,,,,,,,05-04-2022
Departamento,Cumbayá,110 m²,USD207.000,Sector La Viña,2,2,A Estrenar,66 m²,4,,,,,,,05-04-2022
Terreno,Tumbaco,,USD1.000.000,Sector Hilacril,,,,5000 m²,,Si,Si,,,,,05-04-2022
Departamento,Cumbayá,270 m²,USD380.000,"Cumbayá, Santa Lucía Alta",3,3,5,,5,,,,,,,05-04-2022
Oficina,González Suárez,100 m²,USD160.000,"12 De Octubre, junto el Club La Unión",,2,4,,,,,No,Si,150,,05-04-2022
Casa,Tumbaco,275 m²,USD350.000,Tumbaco,3,3,1,100 m²,5,,,,,,,05-04-2022
Terreno,Cumbayá,,USD498.675,Urbanización La Rioja,,,,1635 m²,,Si,Si,,,,,05-04-2022
Departamento,Quito Tenis,400 m²,USD480.000,"Sarmiento de Gamboa, Quito Tenis",3,3,8,,4,,,,,,,05-04-2022
Terreno,Norte de Manta,,USD105.000,"Ciudad del Mar, Manta",,,,441 m²,,Si,No,,,,,05-04-2022
Quinta,Pifo,500 m²,USD548.000,Pifo,3,3,8,2385 m²,5,,,,,,,05-04-2022
Terreno,Cumbayá,,USD1.345.000,Cumbayá,,,,4944 m²,,No,Si,,,,,05-04-2022
Terreno,Puembo,,USD498.000,PUEMBO,,,,,,No,No,,,,,05-04-2022
Departamento,Tumbaco,159 m²,USD190.000,"Tumbaco, St Joseph",3,3,A Estrenar,,4,,,,,,,05-04-2022
Casa,Cumbayá,162 m²,USD205.000,Cununyacu,3,2,11,50 m²,6,,,,,,,05-04-2022
Casa,Mitad del Mundo,132 m²,USD129.270,Pomasqui,3,2,A Estrenar,,4,,,,,,,05-04-2022
Casa,Tumbaco,210 m²,USD230.000,Tumbaco,3,3,6,200 m²,5,,,,,,,05-04-2022
Departamento,Bellavista,325 m²,USD370.000,Bellavista,3,3,22,,4,,,,,,,05-04-2022
Departamento,Centro de Same,150 m²,USD250.000,Casablanca,3,3,3,,4,,,,,,,05-04-2022
Terreno,Cumbayá,,USD1.651.000,Sector Colegio Spellman,,,,5160 m²,,No,Si,,,,,05-04-2022
Terreno,Norte de Pedernales,,USD140.000,COJIMIES,,,,,,No,No,,,,,05-04-2022
Quinta,Pifo,900 m²,USD1.100.000,PIFO,5,5,20,11200 m²,8,,,,,,,05-04-2022
Departamento,Bellavista,152 m²,USD220.000,Bosmediano,2,2,5,,4,,,,,,,05-04-2022
Terreno,Tumbaco,,USD420.000,Urbanización La Viña,,,,,,No,No,,,,,05-04-2022
Terreno,Cumbayá,,USD462.000,Urbanización La Viña,,,,1400 m²,,No,Si,,,,,05-04-2022
Terreno,Puembo,,USD275.000,PUEMBO,,,,1250 m²,,Si,No,,,,,05-04-2022
Terreno,Puembo,,USD216.000,PUEMBO,,,,1200 m²,,Si,No,,,,,05-04-2022
Oficina,La Carolina,,USD230.000,CAROLINA,,1,5,,,,,No,Si,,,05-04-2022
Casa,Norte de Manta,30 m²,USD140.000,BARBASQUILLO,3,3,A Estrenar,,,,,,,,,05-04-2022
Casa,Tumbaco,258 m²,USD260.000,TUMBACO,3,2,2,,,,,,,,,05-04-2022
Casa,Centro de Ambato,,USD165.000,ambato,3,2,A Estrenar,,,,,,,,,05-04-2022
Terreno,Tumbaco,,USD450.000,TUMBACO,,,,,,No,No,,,,,05-04-2022
Casa,Nayón - Tanda,300 m²,USD224.000,TANDA,3,3,A Estrenar,,,,,,,,,05-04-2022
Departamento,González Suárez,,USD1.100.000,QUITEÑO LIBRE,3,3,A Estrenar,,,,,,,,,05-04-2022
Terreno,Puembo,,USD320.000,Puembo,,,,,,No,No,,,,,05-04-2022
Terreno,Centro de Manta,,USD1.351.993,BARBASQUILLO,,,,,,No,No,,,,,05-04-2022
Terreno,Centro Norte,,USD600.000,SECTOR LA CONDAMINE,,,,,,No,No,,,,,05-04-2022
Terreno,Tumbaco,,USD231.000,Tumbaco,,,,,,Si,No,,,,,05-04-2022
Terreno,Centro de Manta,,USD777.855,Barbasquillo,,,,,,Si,No,,,,,05-04-2022
